41.453	113.286	204.448	0.000
41.142	113.259	206.075	0.000
40.583	114.494	205.078	0.000
39.823	100.999	201.931	1.000
40.337	104.805	196.851	1.000
41.303	103.643	201.201	1.000
44.489	93.817	197.446	1.000
46.595	91.936	202.234	1.000
45.222	95.258	198.327	1.000
29.864	109.895	196.295	1.000
31.752	107.893	196.691	1.000
32.746	106.128	195.384	1.000
38.588	123.053	205.759	0.000
39.008	121.846	208.009	0.000
37.600	120.701	208.820	0.000
25.675	121.665	195.285	0.000
26.504	121.083	198.943	0.000
27.139	120.841	200.025	0.000
35.189	116.889	202.225	0.000
36.303	117.267	203.531	0.000
36.593	116.397	205.383	0.000
31.620	132.854	204.812	2.000
32.505	131.726	204.632	2.000
31.834	132.727	205.108	2.000
48.412	136.937	216.919	3.000
47.824	139.466	215.744	3.000
47.864	135.427	220.923	3.000
37.499	136.626	210.322	2.000
39.016	138.107	210.026	2.000
37.755	138.244	210.247	2.000
51.862	111.688	217.270	4.000
52.344	114.754	210.707	4.000
52.793	114.131	212.050	4.000
48.548	105.620	203.761	1.000
49.983	104.880	203.634	1.000
49.275	106.029	202.128	1.000
59.834	96.708	205.282	5.000
61.092	93.156	204.151	5.000
60.357	95.661	205.773	5.000
27.485	109.199	188.697	1.000
29.998	109.377	190.323	1.000
27.625	107.710	187.164	1.000
35.573	94.334	191.912	1.000
35.299	96.391	189.658	1.000
36.085	93.522	193.746	1.000
49.851	123.704	210.954	4.000
51.478	121.874	213.096	4.000
51.316	120.762	213.553	4.000
61.039	126.378	215.369	6.000
61.446	124.767	216.027	6.000
60.897	125.592	214.490	6.000
60.091	105.859	213.049	7.000
62.525	107.870	207.475	7.000
62.196	107.057	210.198	7.000
50.711	120.286	206.186	4.000
30.433	150.415	201.057	8.000
30.670	150.486	202.250	8.000
23.689	137.865	194.762	9.000
21.551	134.038	198.428	9.000
24.245	136.262	198.928	9.000
