43.440	71.096	128.216	0.000	1.000	0.000	2.0	
44.367	77.931	135.603	0.000	0.000	1.000	2.0	
50.954	77.420	138.976	1.000	0.000	0.000	2.0	
47.416	74.644	123.622	0.000	1.000	0.000	2.0	
47.503	76.623	121.323	0.000	1.000	0.000	2.0	
43.315	70.644	128.774	0.000	1.000	0.000	2.0	
46.573	64.398	120.547	0.000	1.000	0.000	2.0	
45.583	63.053	122.244	0.000	1.000	0.000	2.0	
46.450	68.514	118.233	0.000	1.000	0.000	2.0	
51.039	64.796	136.866	0.000	1.000	0.000	2.0	
51.997	68.916	130.866	0.000	1.000	0.000	2.0	
50.461	65.542	132.453	0.000	1.000	0.000	2.0	
62.504	67.868	138.925	0.000	1.000	0.000	2.0	
58.366	64.874	142.399	0.000	1.000	0.000	2.0	
59.170	68.942	137.004	0.000	1.000	0.000	2.0	
53.681	80.755	145.120	0.000	1.000	0.000	2.0	
52.812	75.077	144.882	0.000	1.000	0.000	2.0	
54.651	80.227	142.889	0.000	1.000	0.000	2.0	
43.661	74.949	139.117	0.000	1.000	0.000	2.0	
45.599	80.198	136.139	0.000	1.000	0.000	2.0	
45.611	79.186	134.839	0.000	1.000	0.000	2.0	
39.236	80.716	121.055	0.000	1.000	0.000	2.0	
38.131	78.561	123.475	0.000	1.000	0.000	2.0	
40.193	82.257	119.826	0.000	1.000	0.000	2.0	
30.416	79.550	113.236	0.000	1.000	0.000	2.0	
32.709	78.456	115.190	0.000	1.000	0.000	2.0	
29.185	76.942	115.974	0.000	1.000	0.000	2.0	
38.069	99.065	124.945	0.000	1.000	0.000	2.0	
32.872	92.313	129.992	0.000	1.000	0.000	2.0	
33.077	91.995	130.425	0.000	1.000	0.000	2.0	
65.147	81.076	148.428	0.000	1.000	0.000	2.0	
64.189	75.582	152.173	0.000	1.000	0.000	2.0	
63.761	73.261	153.963	0.000	1.000	0.000	2.0	
50.436	87.708	151.362	0.000	1.000	0.000	2.0	
57.205	88.542	151.210	0.000	1.000	0.000	2.0	
50.822	85.122	151.043	0.000	1.000	0.000	2.0	
54.452	100.489	150.055	0.000	1.000	0.000	2.0	
49.027	93.418	157.215	0.000	1.000	0.000	2.0	
51.873	97.084	154.309	0.000	1.000	0.000	2.0	
42.917	85.071	140.102	0.000	1.000	0.000	2.0	
44.346	85.306	140.748	0.000	1.000	0.000	2.0	
42.244	83.082	142.604	0.000	1.000	0.000	2.0	
31.220	85.576	128.478	0.000	1.000	0.000	2.0	
31.760	85.167	131.793	0.000	1.000	0.000	2.0	
33.620	88.859	128.751	0.000	1.000	0.000	2.0	
25.699	86.842	121.484	0.000	1.000	0.000	2.0	
29.687	89.021	118.317	0.000	1.000	0.000	2.0	
30.687	89.937	117.061	0.000	1.000	0.000	2.0	
34.590	113.859	129.887	0.000	1.000	0.000	2.0	
27.378	99.933	143.137	0.000	1.000	0.000	2.0	
34.207	108.762	135.948	0.000	1.000	0.000	2.0	
57.991	58.572	136.836	0.000	1.000	0.000	2.0	
55.885	54.109	138.370	0.000	1.000	0.000	2.0	
58.570	58.914	135.555	0.000	1.000	0.000	2.0	
52.105	49.752	124.502	0.000	1.000	0.000	2.0	
52.484	48.171	126.873	0.000	1.000	0.000	2.0	
53.085	49.108	126.916	0.000	1.000	0.000	2.0	
44.633	59.470	113.610	0.000	1.000	0.000	2.0	
43.888	57.346	115.517	0.000	1.000	0.000	2.0	
42.538	52.590	120.374	0.000	1.000	0.000	2.0	
69.875	48.605	139.651	0.000	1.000	0.000	2.0	
70.026	52.977	137.986	0.000	1.000	0.000	2.0	
70.463	51.661	137.581	0.000	1.000	0.000	2.0	
