31.227	133.761	192.291	0.000	1.000	0.000	2.0	HOTSPOT_ADM
24.748	128.898	191.193	1.000	0.000	0.000	2.0	HOTSPOT_FRC
37.434	132.751	196.805	0.000	0.000	1.000	2.0	HOTSPOT_FCP
26.430	131.202	183.914	1.000	0.000	0.000	2.0	
27.005	131.692	185.802	1.000	0.000	0.000	2.0	
27.555	131.088	186.658	1.000	0.000	0.000	2.0	
20.438	128.523	183.008	1.000	0.000	0.000	2.0	
20.833	130.555	177.613	1.000	0.000	0.000	2.0	
21.274	131.838	177.350	1.000	0.000	0.000	2.0	
16.154	145.615	181.141	1.000	0.000	0.000	2.0	
17.108	145.635	175.694	1.000	0.000	0.000	2.0	
15.882	144.339	180.466	1.000	0.000	0.000	2.0	
23.560	151.025	185.562	1.000	0.000	0.000	2.0	
24.009	149.323	186.602	1.000	0.000	0.000	2.0	
25.036	147.726	194.821	1.000	0.000	0.000	2.0	
41.119	156.275	201.181	1.000	0.000	0.000	2.0	
42.085	154.766	198.630	1.000	0.000	0.000	2.0	
42.480	153.782	200.067	1.000	0.000	0.000	2.0	
38.797	132.679	198.337	1.000	0.000	0.000	2.0	
36.569	129.245	194.805	1.000	0.000	0.000	2.0	
35.051	129.593	193.305	1.000	0.000	0.000	2.0	
42.028	141.546	201.000	1.000	0.000	0.000	2.0	
40.393	141.580	198.562	1.000	0.000	0.000	2.0	
39.722	142.502	199.079	1.000	0.000	0.000	2.0	
57.640	139.168	206.924	1.000	0.000	0.000	2.0	
55.451	139.671	207.355	1.000	0.000	0.000	2.0	
56.064	137.689	210.338	1.000	0.000	0.000	2.0	
41.270	126.662	196.241	1.000	0.000	0.000	2.0	
42.663	127.067	197.363	1.000	0.000	0.000	2.0	
42.079	125.309	196.000	1.000	0.000	0.000	2.0	
35.752	106.736	191.412	1.000	0.000	0.000	2.0	
36.639	108.109	189.648	1.000	0.000	0.000	2.0	
37.249	106.262	191.491	1.000	0.000	0.000	2.0	
32.816	116.717	190.735	1.000	0.000	0.000	2.0	
33.063	115.742	187.262	1.000	0.000	0.000	2.0	
33.350	115.932	189.837	1.000	0.000	0.000	2.0	
50.860	114.186	202.729	1.000	0.000	0.000	2.0	
49.203	114.203	203.420	1.000	0.000	0.000	2.0	
48.652	116.164	199.736	1.000	0.000	0.000	2.0	
54.228	131.083	207.502	1.000	0.000	0.000	2.0	
53.600	131.403	207.002	1.000	0.000	0.000	2.0	
54.432	131.960	204.351	1.000	0.000	0.000	2.0	
24.702	118.701	184.104	1.000	0.000	0.000	2.0	
24.011	117.544	182.287	1.000	0.000	0.000	2.0	
23.867	118.651	183.165	1.000	0.000	0.000	2.0	
52.500	151.709	200.864	1.000	0.000	0.000	2.0	
52.070	151.278	205.400	1.000	0.000	0.000	2.0	
53.252	150.856	206.847	1.000	0.000	0.000	2.0	
33.743	145.101	193.544	1.000	0.000	0.000	2.0	
30.964	143.646	191.656	1.000	0.000	0.000	2.0	
32.397	145.074	190.246	1.000	0.000	0.000	2.0	
28.287	106.750	184.993	1.000	0.000	0.000	2.0	
29.236	107.946	182.585	1.000	0.000	0.000	2.0	
28.619	107.318	181.089	1.000	0.000	0.000	2.0	
35.439	158.577	190.264	1.000	0.000	0.000	2.0	
35.742	157.172	195.499	1.000	0.000	0.000	2.0	
33.559	160.251	189.416	1.000	0.000	0.000	2.0	
51.701	126.428	203.034	1.000	0.000	0.000	2.0	
51.753	124.564	203.684	1.000	0.000	0.000	2.0	
50.666	123.570	203.707	1.000	0.000	0.000	2.0	
48.061	143.630	208.347	1.000	0.000	0.000	2.0	
43.949	139.806	206.557	1.000	0.000	0.000	2.0	
46.252	143.790	206.558	1.000	0.000	0.000	2.0	
